ThirdEyeChic Optometry; Optometrists; 3.5 star rating; 8 reviews; Battery Park; 220 Murray St, New York, NY 10282; (212) 227-0360
Recovery Physical Therapy; Physical Therapy; 5.0 star rating; 2 reviews; Midtown East; 200 Park Ave, New York, NY 10166; (212) 953-9494
Nilesh D Patel, MD; Ear Nose & Throat; 3.5 star rating; 5 reviews; Midtown East, Murray Hill; 20 East 46th Street, New York, NY 10017; (646) 490-4795
Steven Struhl, MD; Orthopedists; 4.5 star rating; 5 reviews; Midtown East; 681 Lexington Ave, New York, NY 10022; (212) 207-1990
One Medical Group; Internal Medicine, Family Practice; 4.0 star rating; 65 reviews; Midtown East, Midtown West; 489 5th Ave, New York, NY 10017; (212) 530-2288
Core Focus Physical Therapy; Physical Therapy, Sports Medicine; 5.0 star rating; 5 reviews; Midtown East; 424 Madison Avenue, New York, NY 10017; (347) 201-5490
Ryan J Fuller, Ph.D.; Counseling & Mental Health; 5.0 star rating; 4 reviews; Midtown East; 330 Madison Ave, New York, NY 10017; (646) 495-3078
Dan Bowers, MD; Doctors; 5.0 star rating; 2 reviews; Midtown East; 110 East 55th Street, New York, NY 10022; (212) 421-2864
Carlos Arroyo Physical Therapy; Physical Therapy; 5.0 star rating; 2 reviews; Midtown East; 338 East 49th St, Manhattan, NY 10017; (347) 735-6468
Jasmin Balance Life Therapy - Jasmin Terrany, LMHC; Counseling & Mental Health; 5.0 star rating; 2 reviews; Midtown East; 115 E 57th St, New York, NY 10022; (212) 464-8575
City Wide Health Facility; Chiropractors, Physical Therapy, Medical Centers; 5.0 star rating; 1 review; Gravesend, Bensonhurst; 201 Kings Hwy, Brooklyn, NY 11223; (718) 621-1181
Boro Park Ob/Gyn; Obstetricians & Gynecologists, Midwives; 3.0 star rating; 10 reviews; Bensonhurst, Borough Park; 5925 15th Ave, Brooklyn, NY 11219; (718) 972-2700
Comprehensive Pediatrics; Doctors; 3.0 star rating; 4 reviews; Bensonhurst; 1407 W 6th St, Brooklyn, NY 11204; (718) 331-5200
Janlian Medical Group; Doctors; 2.5 star rating; 5 reviews; Bensonhurst; 7217 18th Ave, Brooklyn, NY 11204; (718) 837-7582
Ira E Gronowitz; Periodontists, Orthodontists; 1.5 star rating; 8 reviews; Bensonhurst; 8502 Bay Pkwy, Brooklyn, NY 11214; (718) 690-9633
Immediate Care; Urgent Care; 2.5 star rating; 3 reviews; Bensonhurst; 6906 18th Ave, Brooklyn, NY 11204; (718) 621-5933
Downstate Clinic Labs; null; 0; 0; Bensonhurst; 7701 Bay Parkway Apt 4H, Brooklyn, NY 11214; (718) 837-2498
Festar beauty; null; 0; 0; Bensonhurst; 2410 65th St, Brooklyn, NY 11204; (718) 676-1512
Hudson Valley Clinic Lab; null; 0; 0; Bay Ridge; 421 78th St, Brooklyn, NY 11209; (718) 745-4369
Doctor Sew; null; 0; 0; Bay Ridge; 8618 5th Ave, Brooklyn, NY 11209; (718) 748-5288
Acupuncture Herbs; null; 0; 0; Fort Hamilton, Bay Ridge; 9003 5th Avenue, Brooklyn, NY 11209; (718) 238-2554
Elizabeth Richards, PsyD; Psychologists; 0; 0; Brooklyn Heights; 26 Court St, Brooklyn, NY 11201; (347) 470-0127
Mount Sinai Doctors Brooklyn Heights; Urgent Care; 3.0 star rating; 16 reviews; Brooklyn Heights; 300 Cadman Plz W, Brooklyn, NY 11201; (929) 210-6000
Charles Berk, MD; Internal Medicine, Family Practice; 4.0 star rating; 26 reviews; Brooklyn Heights; 185 Montague St, Brooklyn, NY 11201; (718) 624-6185
Dr. Matthew Bellafiore, DDS; General Dentistry; 3.5 star rating; 10 reviews; Brooklyn Heights; 185 Montague St, Brooklyn, NY 11201; (718) 875-9424
Neurology Headache & Pain; Medical Centers; 0; 0; Brooklyn Heights; 258 Henry St, Brooklyn, NY 11201; (718) 625-2123
X-CLOSED FMS-ATLANTIC Hemodialysis Center; Dialysis Clinics; 0; 0; Brooklyn Heights; 339 Hicks St, Brooklyn, NY 11201; (718) 780-1224
Atlantic Peritoneal Dialysis Home Training Center; Dialysis Clinics; 0; 0; Brooklyn Heights; 61 Atlantic Ave, Brooklyn, NY 11201; (718) 222-4370
Brooklyn Heights Dental; Cosmetic Dentists, General Dentistry; 4.5 star rating; 6 reviews; Brooklyn Heights; 189 Montague St, Brooklyn, NY 11201; (718) 857-6639
Reproductive Medicine Associates of New York; Fertility, Obstetricians & Gynecologists; 4.5 star rating; 7 reviews; Brooklyn Heights; 26 Court St, Brooklyn, NY 11242; (718) 532-8700
One on One Physical Therapy; Physical Therapy; 2.5 star rating; 9 reviews; Brooklyn Heights; 194 Joralemon St, Brooklyn, NY 11201; (718) 643-7116
The Speech Garden; Speech Therapists, Occupational Therapy; 5.0 star rating; 2 reviews; Clinton Hill; 143 Waverly Ave, Fort Greene, NY 11205; (845) 541-9045
ParCare Health and Medical Center; Medical Centers, Physical Therapy, Gastroenterologist; 1.0 star rating; 1 review; Bedford Stuyvesant, Clinton Hill; 445 Park Ave, New York, NY 11205; (718) 963-0800
Small Brooklyn Psychology Center; Psychologists; 0; 0; Clinton Hill; 895 Fulton St, Brooklyn, NY 11238; (718) 622-4058
Prominis Medical Services; Doctors; 2.5 star rating; 12 reviews; Clinton Hill; 332 Dekalb Ave, Brooklyn, NY 11205; (718) 852-5252
Yaffe Ruden and Associates; Medical Centers; 2.5 star rating; 65 reviews; Upper East Side; 201 E 65th St, New York, NY 10065; (212) 879-4700
Alan H Jaslove, DDS; Oral Surgeons, General Dentistry; 4.5 star rating; 5 reviews; Upper East Side; 160 E 88th St, New York, NY 10128; (212) 722-5200
Neal Schultz MD; Dermatologists; 4.0 star rating; 10 reviews; Upper East Side; 1130 Park Ave, New York, NY 10128; (212) 369-9600
Norman J Pastorek, MD PC FACS; Cosmetic Surgeons; 5.0 star rating; 5 reviews; Upper East Side; 1127 Park Ave, New York, NY 10128; (212) 987-4700
Memorial Sloan Kettering Cancer Center; Hospitals, Medical Centers; 3.0 star rating; 45 reviews; Upper East Side; 1275 York Ave, New York, NY 10065; (212) 639-2000
Sheryl D Clark, M.D. Dermatology and Dermatologic Surgery; Dermatologists, Skin Care; 3.5 star rating; 11 reviews; Upper East Side; 109 E 61ST ST, New York, NY 10065; (212) 750-2905
Seligman Orthodontics; Orthodontists; 5.0 star rating; 4 reviews; Upper East Side; 898 Park Ave, New York, NY 10075; (646) 780-0143
Cohen Frank S MD; Doctors, Medical Supplies, Medical Centers; 5.0 star rating; 3 reviews; Upper East Side; 212 E 70th St, New York, NY 10021; (212) 472-2772
Advanced Hypnosis Center NY; Weight Loss Centers, Hypnosis/Hypnotherapy; 5.0 star rating; 4 reviews; Upper East Side; 111 East 75th Street, New York, NY 10021; (212) 585-4430
Michelle Zweifler MD; Cosmetic Surgeons; 4.0 star rating; 4 reviews; Upper East Side; 800A 5th Avenue, New York, NY 10065; (212) 355-0500
Bluebird Midwifery; Midwives; 0; 0; Carroll Gardens, Columbia Street Waterfront District; 135 Union St 1, Brooklyn, NY 11231; (718) 855-8885
ProKinetics; Physical Therapy; 3.5 star rating; 2 reviews; Carroll Gardens, Columbia Street Waterfront District; 71 Carroll St, Brooklyn, NY 11231; (718) 797-9797
Dr Christian Automobile; null; 0; 0; Columbia Street Waterfront District; 63 Union St, Brooklyn, NY 11231; (718) 246-4136
The Home Depot; Nurseries & Gardening, Appliances, Hardware Stores; 2.5 star rating; 40 reviews; Coney Island; 2970 Cropsey Avenue, Brooklyn, NY 11214; (718) 333-9850
New York Fibromyalgia Association; Community Service/Non-Profit; 0; 0; Coney Island; 2816 W 8th St, Brooklyn, NY 11224; (917) 968-4475
Abe Stark Arena; Skating Rinks; 4.5 star rating; 2 reviews; Coney Island; 1902 Surf Ave, New York, NY 11224; (718) 946-3135
Brooklyn Heights Pediatric Dentistry; Pediatric Dentists; 4.5 star rating; 12 reviews; Cobble Hill; 148 Atlantic Ave, New York, NY 11201; (718) 875-5437
University Hospital of Brooklyn; Hospitals, Colleges & Universities; 3.0 star rating; 38 reviews; Cobble Hill; 339 Hicks St, Brooklyn, NY 11201; (718) 780-1000
PM Pediatrics; Urgent Care, Pediatricians; 5.0 star rating; 22 reviews; Cobble Hill; 240 Atlantic Avenue, Brooklyn, NY 11201; (718) 246-5437
Daveed Frazier, MD; Doctors; 0; 0; Cobble Hill; 97 Amity St, Brooklyn, NY 11201; (718) 780-4701
Dr. Sourab Choudhury, MD - Brooklyn Dermatology; Dermatologists; 1.0 star rating; 4 reviews; Brooklyn Heights, Cobble Hill; 161 Atlantic Ave, Brooklyn, NY 11201; (718) 797-5504
The Family Planning Clinic At Long Is Collge Hsptl; null; 0; 0; Cobble Hill; 97 Amity St, Brooklyn, NY 11201; (718) 780-2983
Ronald Shaskan, DDS; General Dentistry; 5.0 star rating; 1 review; Midtown East, Murray Hill; 124 E 40 St, New York, NY 10016; (212) 983-0233
3gTCM; Acupuncture; 5.0 star rating; 2 reviews; Midtown East, Murray Hill; 161 Madison Ave, New York, NY 10016; (646) 329-5422
NYC Pain Management; Physical Therapy, Naturopathic/Holistic; 0; 0; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 390-8081
Ori Shinar; Counseling & Mental Health; 0; 0; Midtown East, Murray Hill; 51 E 42nd St, New York, NY 10017; (917) 806-0155
Janys Gelberg, DDS; Cosmetic Dentists; 0; 0; Midtown East, Murray Hill; 80 Park Ave, New York, NY 10016; (212) 594-5706
Allergy and Immunology On Madison; Allergists; 0; 0; Midtown East, Murray Hill; 161 Madison Ave, New York, NY 10016; (646) 424-0400
Dental Implants New York; General Dentistry, Cosmetic Dentists; 0; 0; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 685-3212
Edgard El Chaar, DDS, MS; Oral Surgeons, Periodontists; 0; 0; Midtown East, Murray Hill; 130 E 35 St, New York, NY 10016; (212) 685-5133
Concorde Medical Group; Medical Centers; 3.5 star rating; 25 reviews; Midtown East, Murray Hill; 38 E 32nd St, New York, NY 10016; (212) 725-2660
NYU Fertility Center; Medical Centers, Obstetricians & Gynecologists; 4.0 star rating; 4 reviews; Midtown East, Murray Hill; 660 1st Ave, Manhattan, NY 10016; (212) 263-8990
Khanijou Pradeep DDS; General Dentistry; 1.0 star rating; 2 reviews; Cypress Hills; 120 Grant Avenue, Brooklyn, NY 11208; (718) 827-6565
MOUNTAIN; Acupuncture, Yoga; 4.0 star rating; 22 reviews; Crown Heights; 903 Franklin Ave, Brooklyn, NY 11225; (718) 771-2476
Brooklyn Dialysis Center; Dialysis Clinics; 3.0 star rating; 1 review; Crown Heights; 915 Dean St, Brooklyn, NY 11238; (347) 915-2140
Interfaith Medical Center; Medical Centers; 1.0 star rating; 7 reviews; Bedford Stuyvesant, Crown Heights; 1545 Atlantic Ave, Brooklyn, NY 11213; (718) 613-4000
Herbal Incense In Brooklyn; Cannabis Clinics; 0; 0; Bedford Stuyvesant, Crown Heights; 543 E 9st, Brooklyn, NY 11218; (347) 985-6146
Dawn Welburn - ReAwaken Through Touch; Massage Therapy, Doulas; 0; 0; Crown Heights; 367 Saint Marks Avenue, Brooklyn, NY 11238; (347) 522-3450
Ann Reibel- Coyne, L.Ac.; Acupuncture; 0; 0; Crown Heights; 367 St Marks Ave, Brooklyn, NY 11238; (347) 461-2028
Ahmad Syed MD; Doctors; 4.5 star rating; 2 reviews; Weeksville, Crown Heights; 1473 Sterling Place, Brooklyn, NY 11213; (718) 756-3939
Rosen Eli MD; Doctors; 4.5 star rating; 2 reviews; Wingate, Crown Heights; 358 Kingston Ave, Brooklyn, NY 11213; (718) 778-7272
St Marks Painless Dental; General Dentistry; 3.0 star rating; 2 reviews; Crown Heights; 907 St Marks Ave, Brooklyn, NY 11213; (718) 778-3283
Central Brooklyn Dialysis Center; Dialysis Clinics; 0; 0; Crown Heights; 818 Sterling Pl, Brooklyn, NY 11216; (718) 735-6660
Equilibrium LLC; Naturopathic/Holistic, Acupuncture, Nutritionists; 5.0 star rating; 5 reviews; Midtown West; 248 W 35th St, New York, NY 10001; (917) 671-6527
Schweiger Dermatology; Dermatologists, Skin Care; 4.0 star rating; 7 reviews; Hell's Kitchen, Midtown West; 315 W 57th St, New York, NY 10019; (212) 203-0908
Clifford S. Melnick, DMD - Fifth Avenue Periodontics; Periodontists, General Dentistry; 4.0 star rating; 8 reviews; Theater District, Hell's Kitchen, Midtown West; 41 West 58th Street, New York, NY 10019; (212) 355-1266
Kevin Tehrani - Aristocrat Plastic Surgery & MedAesthetics; Medical Spas, Cosmetic Surgeons; 3.5 star rating; 9 reviews; Midtown West; 30 Central Park S, New York, NY 10019; (212) 439-9900
34th Street Chiropractic and Wellness; Chiropractors, Physical Therapy; 3.0 star rating; 6 reviews; Hell's Kitchen, Midtown West; 469 7th Ave, New York, NY 10018; (212) 268-7366
The Dental Boutique; General Dentistry, Cosmetic Dentists; 5.0 star rating; 12 reviews; Midtown West; 151 W 30th St, New York, NY 10001; (646) 649-3116
Ryan/Chelsea-Clinton Community Health Center; Medical Centers; 2.0 star rating; 11 reviews; Hell's Kitchen, Midtown West; 645 10th Ave, New York, NY 10036; (212) 265-4500
Sunlight Acupuncture, PC; Acupuncture; 4.5 star rating; 3 reviews; Midtown West; 247 W 35th St, Manhattan, NY 10001; (212) 244-3919
Shahnoz Rustamova, MD; Obstetricians & Gynecologists; 3.5 star rating; 18 reviews; Midtown West; 134 W 58th St, New York, NY 10019; (212) 974-0490
Center For Women’s Reproductive Care At Columbia University; Obstetricians & Gynecologists; 2.0 star rating; 25 reviews; Midtown West; 1790 Broadway, New York, NY 10019; (646) 756-8282
Olympus Center; Acupuncture, Naturopathic/Holistic; 0; 0; Flatiron; 54 W 21st St, New York, NY 10010; (212) 337-0511
Naturo-Medical Health Care PC; Acupuncture; 0; 0; Flatiron; 39 E 20th St, New York, NY 10003; (212) 473-9155
Roheen Raithatha, MD; Ear Nose & Throat; 0; 0; Flatiron; 261 5th Ave, Ste 901, New York, NY 10016; (212) 679-3499
8 Point Wellness; Acupuncture; 5.0 star rating; 2 reviews; Flatiron; 928 Broadway, Manhattan, NY 10010; (646) 734-5175
Carlo A Borea; Sex Therapists; 0; 0; Union Square, Flatiron; 41 Union Square W, Manhattan, NY 10003; (917) 756-4209
WholeLife HealthCare; Chiropractors; 0; 0; Union Square, Gramercy, Flatiron; 215 Park Ave S, New York, NY 10003; (212) 533-3070
Bryan Murphy, NP; Family Practice, Urgent Care; 0; 0; Flatiron; 35 E 21st St, 7th Fl, New York, NY 10010; (212) 530-0659
Manhattan Acupuncture; Acupuncture; 0; 0; Flatiron; 900 Broadway, Manhattan, NY 10003; (917) 968-6456
Miles Neale, PhD,PsyD; Psychologists; 0; 0; Union Square, Flatiron; 41 Union Sq W, Manhattan, NY 10003; (917) 750-3594
Flatiron Alexander Technique; Physical Therapy; 0; 0; Flatiron; 1133 Broadway, New York, NY 10010; (718) 243-2720
Mt. Sinai Kidney Center; Dialysis Clinics; 0; 0; Yorkville, Upper East Side; 309 E 94th St, New York, NY 10128; (212) 987-7208
Glenn Reit, DDS; Dentists; 3.5 star rating; 15 reviews; Yorkville, Upper East Side; 1498 Third Ave, Manhattan, NY 10028; (212) 517-9000
Women’s Wellness Center of New York; Obstetricians & Gynecologists, Medical Centers; 3.0 star rating; 20 reviews; Yorkville, Upper East Side; 207 E. 84th St., New York, NY 10028; (646) 754-3300
Gabriela Olaru, MD; Obstetricians & Gynecologists, Internal Medicine; 2.5 star rating; 20 reviews; Yorkville, Upper East Side; 328 E 75th St, New York, NY 10021; (212) 772-3722
Harold Ort, DDS; General Dentistry; 4.0 star rating; 14 reviews; Yorkville, Upper East Side; 1737 York Ave, New York, NY 10128; (212) 534-3020
Ketly Michel, MD; Obstetricians & Gynecologists; 4.0 star rating; 10 reviews; Yorkville, Upper East Side; 261 E 78th, New York, NY 10075; (212) 249-4501
Cameron Rokhsar; Dermatologists; 2.5 star rating; 8 reviews; Yorkville, Upper East Side; 328 E 75th St, New York, NY 10021; (212) 285-1110
Sorkin’s Manhattan Gyn; Obstetricians & Gynecologists; 5.0 star rating; 4 reviews; Yorkville, Upper East Side; 157 E 72nd St, New York, NY 10021; (888) 665-2227
American Clinic Services; null; 0; 0; Yorkville, Upper East Side; 60 E End Avenue, New York, NY 10028; (212) 794-0214
Laboratories Management; null; 0; 0; Yorkville, Upper East Side; 178 E 85th St, New York, NY 10028; (212) 249-7395
New York Clinic For Pain Management; null; 0; 0; Borough Park; 5911 16th Avenue, Brooklyn, NY 11204; (718) 236-3449
Laboratories; null; 0; 0; Borough Park; 1877 58th St, Brooklyn, NY 11204; (718) 837-0701
Boro Park Medical PC MD; Doctors; 1.0 star rating; 2 reviews; Borough Park; 1379 54th Street, Brooklyn, NY 11219; (718) 436-1600
Gregory Shifrin, MD; Obstetricians & Gynecologists; 3.0 star rating; 6 reviews; Flatbush, Ditmas Park; 1766 E 12th St, Brooklyn, NY 11229; (718) 743-0505
Central Park Plastic Surgery; Cosmetic Surgeons; 0; 0; Upper West Side; 75 Central Park W, Manhattan, NY 10023; (212) 496-6600
Walk and Talk Therapy; Counseling & Mental Health, Life Coach; 0; 0; Upper West Side; 1841 Broadway, Manhattan, NY 10023; (212) 796-8633
Valerie Oltarsh-McCarthy, LCSW MPH; Counseling & Mental Health; 0; 0; Upper West Side; 107 W 82nd St, New York, NY 10024; (212) 744-1416
Livable Lovable Life; Counseling & Mental Health, Life Coach; 0; 0; Upper West Side; 20 W 86th St, New York, NY 10024; (212) 479-7352
New York Neurogenic Speech; Speech Therapists; 0; 0; Upper West Side; 180 W 80th Str, New York, NY 10024; (212) 453-0036
Hochenberg Richard DDS; General Dentistry, Cosmetic Dentists; 5.0 star rating; 1 review; Upper West Side; 130 W 86th St, New York, NY 10024; (212) 724-5506
NYC Ophthalmology - Edwin M. Schottenstein M.D., F.A.C.S.; Optometrists, Ophthalmologists, Laser Eye Surgery/Lasik; 2.0 star rating; 9 reviews; Upper West Side; 140 W. 71st Street, New York, NY 10023; (212) 874-2300
Life Care Dialysis Center; Dialysis Clinics; 1.0 star rating; 1 review; Upper West Side; 211 W 61st Street, New York, NY 10023; (212) 977-6100
Catherine A. Boyer, MA LCSW; Counseling & Mental Health; 0; 0; Upper West Side; 144 W 86th St, Manhattan, NY 10024; (212) 877-6923
Schneider Speech; Speech Therapists; 0; 0; Upper West Side; 154 W 70th St, Manhattan, NY 10023; (347) 673-1620
Schweiger Dermatology; Dermatologists; 5.0 star rating; 5 reviews; Midtown East, Murray Hill; 35 E 35th St, New York, NY 10016; (212) 225-8867
Maria Tulpan, MD; Internal Medicine, Endocrinologists; 3.5 star rating; 24 reviews; Midtown East, Murray Hill; 40 Park Ave, New York, NY 10016; (212) 679-7363
Roy G Geronemus, MD; Doctors; 3.0 star rating; 6 reviews; Midtown East, Murray Hill; 317 E 34th St, New York, NY 10016; (212) 686-7306
Joel M Solomon MD; Ophthalmologists; 4.0 star rating; 7 reviews; Midtown East, Murray Hill, Kips Bay; 614 2nd Ave, New York, NY 10016; (212) 689-5080
Louis J Morledge, MD; Doctors; 3.5 star rating; 14 reviews; Midtown East; 150 E 58th St, New York, NY 10155; (212) 583-2830
Clear; Dermatologists; 4.0 star rating; 7 reviews; Midtown East; 110 E 55th St, Manhattan, NY 10022; (212) 828-3000
New York Vein Treatment Center; Medical Centers, Medical Spas; 5.0 star rating; 2 reviews; Midtown East; 400 E 56th St, New York, NY 10022; (212) 575-8346
Wilfredo Talavera, MD; Internal Medicine, Pulmonologist, Diagnostic Services; 5.0 star rating; 4 reviews; Midtown East, Murray Hill, Kips Bay; 205 Lexington Ave, Manhattan, NY 10016; (212) 213-3073
David S Weiss, MD; Sports Medicine, Orthopedists; 3.5 star rating; 7 reviews; Midtown East, Murray Hill, Kips Bay; 317 E 34th St, New York, NY 10016; (212) 263-7743
John Jurcisin, DPM, ABPS, FACFAS; Podiatrists; 5.0 star rating; 8 reviews; Midtown East; 133 E 58th St, Ste 506, New York, NY 10022; (212) 225-8070
Fort Greene Health Center; Health & Medical; 3.5 star rating; 17 reviews; Downtown Brooklyn; 295 Flatbush Ave Ext, Brooklyn, NY 11201; 
Physio Logic Chiropractic & Physical Therapy; Chiropractors, Physical Therapy, Sports Medicine; 4.5 star rating; 19 reviews; Downtown Brooklyn, Brooklyn Heights; 409 Fulton St, Brooklyn, NY 11201; (718) 260-1000
The Women’s Choice; Medical Centers, Obstetricians & Gynecologists; 2.0 star rating; 30 reviews; Downtown Brooklyn; 81 Willoughby St, Brooklyn, NY 11201; (718) 875-4848
Professional Brooklyn Gynecology Services; Obstetricians & Gynecologists, Medical Centers, Fertility; 4.5 star rating; 9 reviews; Downtown Brooklyn; 14 Dekalb Ave, Downtown Brooklyn, NY 11201; (718) 875-4848
Downtown Medical Services; Medical Centers, Urologists; 0; 0; Downtown Brooklyn; 81 Willoughby Street, 4th Floor, Brooklyn, NY 11201; (718) 522-3399
Aaron Mandel,OD; Optometrists; 0; 0; Downtown Brooklyn, Boerum Hill; 228 Livingston St, Brooklyn, NY 11201; (718) 625-2137
Brooklyn Abortion; Obstetricians & Gynecologists, Medical Centers; 0; 0; Downtown Brooklyn; 14 DeKalb Avenue, Brooklyn, NY 11201; (718) 369-1900
Doshi Diagnostic Imaging Services PC; Doctors; 1.5 star rating; 16 reviews; Downtown Brooklyn; 9 Bond St, Brooklyn, NY 11201; (718) 222-3000
Cohen Rory S Dr; Podiatrists; 4.0 star rating; 5 reviews; Downtown Brooklyn; 422 Fulton St, Brooklyn, NY 11201; (718) 797-3668
Diagnostic Cardiology Associates PC; Doctors; 4.0 star rating; 1 review; Brooklyn Heights; 100 Clinton St, Brooklyn, NY 11201; (718) 625-8700
Downtown Medical Services; Internal Medicine; 2.0 star rating; 6 reviews; Downtown Brooklyn; 81 Willoughby St, New York, NY 11201; (718) 522-3399
Dr. Sourab Choudhury, MD - Brooklyn Dermatology; Dermatologists; 1.0 star rating; 4 reviews; Brooklyn Heights, Cobble Hill; 161 Atlantic Ave, Brooklyn, NY 11201; (718) 797-5504
Leaf Medical; Pediatricians, Internal Medicine, Obstetricians & Gynecologists; 5.0 star rating; 44 reviews; DUMBO; 18 Adams St, Brooklyn, NY 11201; (718) 285-3035
Brooklyn Physiotherapy; Physical Therapy; 5.0 star rating; 8 reviews; DUMBO; 68 Jay St, Brooklyn, NY 11201; (718) 772-5700
Leaf Dental; Cosmetic Dentists, General Dentistry, Pediatric Dentists; 5.0 star rating; 8 reviews; DUMBO; 18 Adams St., Brooklyn, NY 11201; (718) 285-3035
Paradigm Physical Therapy, PC; Physical Therapy; 5.0 star rating; 2 reviews; Yorkville, Upper East Side; 1556 3rd Ave (87th St), Manhattan, NY 10128; (212) 884-9401
Ellen Marmur, MD; Dermatologists; 5.0 star rating; 5 reviews; Upper East Side; 12 E 87th St, Ste 1A, New York, NY 10128; (212) 996-6900
Mark H Schwartz, MD FACS; Cosmetic Surgeons; 5.0 star rating; 5 reviews; Upper East Side; 79 E 79th St, New York, NY 10075; (212) 737-9090
Debra Jaliman, MD; Dermatologists; 3.5 star rating; 3 reviews; Upper East Side; 931 5th Ave, New York, NY 10021; (212) 517-8855
Luxury Dentistry NYC; Cosmetic Dentists, General Dentistry, Periodontists; 4.5 star rating; 30 reviews; Yorkville, Upper East Side; 328 E 75th St, New York, NY 10021; (212) 759-7535
Belmont Eye Center; Ophthalmologists, Laser Eye Surgery/Lasik; 4.5 star rating; 16 reviews; Upper East Side; 121 E 61st St, New York, NY 10065; (646) 791-7146
Gregory J Pamel, MD; Optometrists, Ophthalmologists, Laser Eye Surgery/Lasik; 4.0 star rating; 9 reviews; Upper East Side; 115 E 61st St, New York, NY 10021; (212) 355-2215
The Schulhof Center; Orthodontists, Cosmetic Dentists; 4.5 star rating; 3 reviews; Upper East Side; 125 E 69th St, New York, NY 10021; (212) 577-9236
Manhattan Family Practice Medical PC; Doctors; 4.0 star rating; 6 reviews; Upper East Side; 911 Park Ave, New York, NY 10075; (212) 288-7193
Manhattan’s Physician Group; Medical Centers, Doctors; 2.0 star rating; 20 reviews; Yorkville, Upper East Side; 215 E 95th St, New York, NY 10128; (212) 996-8000
Dialysis; Dialysis Clinics; 0; 0; Dyker Heights; 6518 Fort Hamilton Pkwy, Brooklyn, NY 11219; (718) 836-8444
New York Hearing Center; Hearing Aid Providers, Audiologist; 0; 0; Dyker Heights, Sunset Park, Borough Park; 726 60th St, Sunset Park, NY 11220; (718) 569-0106
J Leung Acupuncture, PC; Acupuncture; 5.0 star rating; 9 reviews; Dyker Heights; 7104 8th Ave, Brooklyn, NY 11228; (917) 861-3699
Dr Parks’s Comprehensive Pain; Doctors; 0; 0; Dyker Heights, Borough Park; 6203 Fort Hamilton Parkway, Brooklyn, NY 11219; (718) 745-3310
DCI Narrows Kidney Center; Dialysis Clinics; 0; 0; Dyker Heights; 6520 Fort Hamilton Pkwy, Dyker Heights, NY 11219; (718) 836-8444
Lin Li Yan-Rosenberg Pysician Pc; Obstetricians & Gynecologists; 3.0 star rating; 4 reviews; Dyker Heights; 6805 Fort Hamilton Pkwy, Brooklyn, NY 11219; (718) 759-1890
Eye Solutions; Eyewear & Opticians, Optometrists; 3.5 star rating; 21 reviews; Dyker Heights, Borough Park; 6002 8th Ave, Brooklyn, NY 11220; (718) 439-2880
Veterans Admin Hosp Bklyn; Hospitals; 2.5 star rating; 3 reviews; Dyker Heights; 800 Poly Pl, Brooklyn, NY 11209; (718) 836-6600
Neighborhood Natural Medicine; Acupuncture, Traditional Chinese Medicine, Naturopathic/Holistic; 5.0 star rating; 52 reviews; East Williamsburg; 30 Maujer St, Brooklyn, NY 11211; (347) 294-4100
Zane Robert, DPM; Podiatrists; 5.0 star rating; 8 reviews; East Williamsburg; 678 Grand St, Brooklyn, NY 11211; (718) 387-3814
Brooklyn Body Works Physical Therapy PC; Physical Therapy; 5.0 star rating; 23 reviews; East Williamsburg; 202 Union Ave, Brooklyn, NY 11211; (718) 387-7420
Fit+Flow Yoga & Wellness; Pilates, Yoga, Acupuncture; 4.5 star rating; 43 reviews; East Williamsburg; 65 Maspeth Ave, East Williamsburg, NY 11211; (718) 715-0911
Children’s Dental Care Building; Medical Centers; 4.0 star rating; 1 review; East Williamsburg, South Williamsburg; 718 Broadway, Brooklyn, NY 11206; (718) 387-1365
Smile Savers Cosmetic Dental; Cosmetic Dentists, General Dentistry; 5.0 star rating; 1 review; East Flatbush; 3400 Snyder Avenue Suite 1B, Brooklyn, NY 11203; (855) 693-7269
Utica Avenue Dialysis; Dialysis Clinics; 0; 0; East Flatbush; 1305 Utica Avenue, Brooklyn, NY 11203; (718) 629-3900
ProCare Clinic Services; Health & Medical; 1.0 star rating; 2 reviews; East Flatbush; 548 Linden Blvd, Brooklyn, NY 11203; (718) 282-0777
Brooks Medical; Doctors; 0; 0; East Flatbush; 5014 Beverley Rd, Brooklyn, NY 11203; (718) 241-0182
Lutheran Medical Center; Medical Centers; 1.0 star rating; 1 review; East Flatbush; 3414 Church Avenue, Brooklyn, NY 11203; (718) 940-9425
Eve’s; null; 0; 0; Remsen Village, East Flatbush; 1069 Ralph Avenue, Brooklyn, NY 11236; (718) 451-0642
Laboratories; null; 0; 0; East Flatbush; 432 Linden Blvd, Brooklyn, NY 11203; (718) 941-5659
East New York Diagnostic And Treatment Center; Medical Centers; 1.0 star rating; 1 review; East New York; 2094 Pitkin Ave, New York, NY 11207; (718) 240-0400
Medisys Health Network; Doctors; 4.0 star rating; 1 review; East New York; 3080 Atlantic Avenue, Brooklyn, NY 11208; (718) 348-0052
Brownsville Oceanhill Community Mental Health; null; 0; 0; East New York; 272 Pennsylvania Avenue, Brooklyn, NY 11207; (718) 385-5757
