1 Barker Little Learning Tree; Preschools, Child Care & Day Care; 0; 0; Port Richmond; 1 Barker St, Staten Island, NY 10310; (855) 334-8631 
Kiddie Kollege Pre School; Elementary Schools, Middle Schools & High Schools, Preschools, Child Care & Day Care; 0; 0; Crown Heights; 1237 Eastern Pkwy, Brooklyn, NY 11213; (718) 774-4924 
Kiddies Learning Center; Elementary Schools, Middle Schools & High Schools; 5.0 star rating; 1 review; Crown Heights; 263 Troy Ave, Brooklyn, NY 11213; (718) 221-2530 
Kiddies Safe Haven; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Harlem; 1890 Adam Clayton Powell, New York, NY 10026; (212) 870-0220 
Kidding Around Preschool; Child Care & Day Care; 0; 0; Pelham Bay; 2940 E 194th St, Bronx, NY 10461; (718) 409-5411 
Kids At Work; Preschools; 5.0 star rating; 1 review; Chelsea; 242 W27th St, New York, NY 10001; (212) 488-8800 
Kids On Fifth; Child Care & Day Care; 5.0 star rating; 1 review; Park Slope; 323 5th Ave, Brooklyn, NY 11215; (718) 768-3122 
Kids Run Around Daycare; Child Care & Day Care, Preschools; 0; 0; Prospect Heights; Brooklyn, NY 11217; (347) 384-2669 
Kids Time Daycare; Preschools, Educational Services; 4.0 star rating; 2 reviews; Woodside; 4275 65th Pl, Woodside, NY 11377; (718) 429-2000 
Kidville - Financial District; Child Care & Day Care, Preschools, Party & Event Planning; 5.0 star rating; 1 review; Financial District; 40 Gold Street, New York, NY 10038; (212) 566-2020 
Kidville - Murray Hill; Child Care & Day Care, Preschools, Party & Event Planning; 0; 0; Midtown East, Flatiron; 105 East 29th Street, New York, NY 10016; (646) 682-9480 
Kidville Carroll Gardens; Child Care & Day Care, Preschools, Party & Event Planning; 5.0 star rating; 2 reviews; Carroll Gardens; 380 Court St, New York, NY 11231; (718) 522-1700 
Kidville Park Slope; Party & Event Planning, Child Care & Day Care, Preschools; 4.0 star rating; 12 reviews; Park Slope; 808 Union St, Brooklyn, NY 11215; (718) 569-2150 
Kidville Riverdale; Preschools, Party & Event Planning, Child Care & Day Care; 5.0 star rating; 1 review; Spuyten Duyvil; 555 W 235th St, Bronx, NY 10463; (718) 708-8081 
Kidville Upper East Side; Party & Event Planning, Preschools, Child Care & Day Care; 3.0 star rating; 3 reviews; Upper East Side; 163 E 84th St, New York, NY 10028; (212) 772-8435 
Kidville Upper West Side; Child Care & Day Care, Preschools; 4.0 star rating; 4 reviews; Upper West Side; 205 West 88th St, New York, NY 10024; (212) 362-7792 
Kidville; Child Care & Day Care, Preschools, Party & Event Planning; 4.5 star rating; 8 reviews; Hell's Kitchen, Midtown West; 515 W 51st St, Manhattan, NY 10019; (212) 765-0783 
Kidville; Child Care & Day Care, Preschools, Party & Event Planning; 5.0 star rating; 1 review; Greenwich Village; 67 E 11th St, Manhattan, NY 10003; (646) 330-5325 
Kidz Village Preschool & Daycare; Preschools, Child Care & Day Care; 0; 0; Elmhurst; 82-02 Grand Ave, Queens, NY 11373; (718) 639-5439 
Kind Start Preschool; Child Care & Day Care; 0; 0; Bensonhurst; 7702 New Utrecht Ave, Brooklyn, NY 11214; (718) 621-5382 
Kinder Stuff V; Preschools; 0; 0; Bensonhurst; 7914 Bay Pkwy, Brooklyn, NY 11214; (347) 492-5313 
Kissena Cherry Daycare; Child Care & Day Care; 0; 0; Downtown Flushing, Flushing; 140-26 Cherry Ave, Flushing, NY 11355; (718) 886-2889 
Kmart Little Caesars Pizza Station; Pizza; 2.5 star rating; 2 reviews; Co-op City; 300 Baychester Avenue, Bronx, NY 10475; (718) 671-5336 
Kozy kids Day Kare; Preschools, Child Care & Day Care; 0; 0; Yorkville, Upper East Side; 1763 Second Ave, New York, NY 10128; (212) 369-2666 
LAC Early Childhood Center; Preschools, Kids Activities; 5.0 star rating; 2 reviews; East Harlem; 325 E 101st St, Manhattan, NY 10029; (212) 828-3974 
LIBERTY DAY CARE SERVICE .INC; Child Care & Day Care, Preschools; 0; 0; Remsen Village; 478 E 95th STREET # 1/2/3, BROOKLYN, NY 11212; (718) 498-4384 
LIC Kids Enrichment Center; Preschools, Tutoring Centers, Party & Event Planning; 3.5 star rating; 15 reviews; Hunters Point, Long Island City; 5-02 50th Avenue, Long Island City, NY 11101; (718) 392-5437 
LITTLE ANGELS GROUP DAY CARE; Preschools, Child Care & Day Care; 0; 0; Jamaica; 11145 Farmers Blvd, Saint Albans, NY 11412; (718) 479-1948 
La Escuelita; Preschools; 5.0 star rating; 2 reviews; Upper West Side; 302 W 91st St, New York, NY 10024; (212) 877-1100 
La Petite Ecole New York; Preschools; 0; 0; Upper West Side; 159 W 82nd St, New York, NY 10024; (646) 504-9694 
La Petite French School NYC; Preschools; 0; 0; Yorkville, Upper East Side; Manhattan, NY 10128; (866) 923-5221 
Language Beans; Preschools; 0; 0; Little Italy, Chinatown; 118-122 Baxter St, New York, NY 10013; (646) 770-1595 
Le Jardin A L’ouest; Child Care & Day Care, Preschools, Language Schools; 0; 0; Upper West Side; 164 W 83rd St, New York, NY 10024; (212) 362-2658 
Learning Steps Day Care Center and Preschool; Preschools, Child Care & Day Care; 0; 0; Williamsburg - North Side; 544 Union Ave, Williamsburg, NY 11211; (718) 388-9134 
Leman Manhattan Preparatory School; Preschools, Elementary Schools, Middle Schools & High Schools; 0; 0; Financial District; 41 Broad St, New York, NY 10004; (212) 232-0266 
Lets Learn Inc; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Randall Manor; 57 N Burgher Ave, Staten Island, NY 10310; (718) 981-5852 
Lexington Children’s Center; Specialty Schools, Preschools, Elementary Schools; 0; 0; East Harlem; 115 E 98th Street, New York, NY 10029; (212) 410-1060 
Life Skills Preschool; null; 0; 0; Rego Park; 9730 Queens Blvd, Rego Park, NY 11374; (718) 459-6279 
Lighthouse Preschool; Elementary Schools, Middle Schools & High Schools, Preschools; 3.0 star rating; 4 reviews; Chinatown; 82 Bowery, New York, NY 10013; (212) 219-8813 
Lil’ Angels Child Care; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Edgewater Park; 520 Ellsworth Ave, Bronx, NY 10465; (718) 792-2273 
Lincoln Sq Neighborhood Center; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Upper West Side; 250 W 65th Street, New York, NY 10023; (212) 874-0860 
Lincoln Square Neighborhood Center; Preschools; 0; 0; Upper West Side; 250 W 65th, New York, NY 10023; (212) 799-6574 
Lindsay & Reman; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Holliswood; 8628 Francis Lewis Blvd, Queens Village, NY 11427; (718) 740-2300 
Little Angels Day Care II; Preschools, Child Care & Day Care; 0; 0; Bedford Stuyvesant; 793 Quincy St, Brooklyn, NY 11221; (718) 443-7378 
Little Angels Montessori, Inc.; Child Care & Day Care, Preschools; 3.0 star rating; 1 review; Astoria; 34-44 Crescent St, Queens, NY 11106; (347) 489-3378 
Little Apple School; Language Schools, Child Care & Day Care; 4.0 star rating; 4 reviews; Bayside; 21354 35th Ave, Bayside, NY 11361; (347) 918-4382 
Little Bridge Program; Preschools, Child Care & Day Care; 0; 0; Bay Ridge; 240 73rd St, Brooklyn, NY 11209; (347) 770-3384 
Little Daydreamers Learning Center; Preschools, Child Care & Day Care; 0; 0; Washington Heights, Inwood; 114 Seaman Ave, New York, NY 10034; (917) 771-9028 
Little Dolphin Day Care; Preschools; 1.0 star rating; 1 review; Ozone Park; 107-01 Crossbay Blvd, Ozone Park, NY 11417; (718) 641-7754 
Little Dolphin School; Preschools, Elementary Schools; 0; 0; Ozone Park; 10701 Crossbay Blvd, Ozone Park, NY 11417; (718) 641-7754 
Little Einstein Day Care/Preschool; Child Care & Day Care, Preschools; 0; 0; Maspeth; 6232 65 St, Middle Village, NY 11379; (718) 417-1024 
Little Explorers; Preschools, Child Care & Day Care; 5.0 star rating; 3 reviews; Bayside; 213-41 40th Ave Bayside, Bayside, NY 11361; (646) 483-3428 
Little Friends House I & II; Child Care & Day Care, Preschools, Elementary Schools; 4.5 star rating; 3 reviews; Flushing; 7541 164th Street, Fresh Meadows, NY 11366; (718) 380-8800 
Little Friends Nursery School Sunnyside; Child Care & Day Care; 4.0 star rating; 7 reviews; Sunnyside; 4342 47th Street, Sunnyside, NY 11104; (718) 786-4644 
Little Guru Academy & Daycare; Preschools, Child Care & Day Care; 5.0 star rating; 4 reviews; Flushing; 16427 77th Ave, Fresh Meadows, NY 11366; (718) 969-0650 
Little Jewel Childcare; Child Care & Day Care, Preschools; 5.0 star rating; 7 reviews; Washington Heights, Inwood; 4915 Broadway, New York, NY 10034; (917) 378-1608 
Little Lamb Preschool; Child Care & Day Care; 0; 0; Arlington; 2 Gridley Ave, Staten Island, NY 10303; (718) 448-7774 
Little Maestros; Music Venues, Party & Event Planning, Preschools; 0; 0; Upper East Side; 344 E 69th St, New York, NY 10021; (212) 396-3977 
Little Meadows Early Childhood Center; Child Care & Day Care, Preschools; 5.0 star rating; 1 review; Flushing, Fresh Meadows; 6725 188th St, Fresh Meadows, NY 11365; (718) 454-6460 
Little Miracle’s Group Family Daycare; Child Care & Day Care; 0; 0; Washington Heights; 65 Fort Washington Ave, New York, NY 10032; (646) 371-7421 
Little Nest Preschool; Preschools; 0; 0; Kensington, Flatbush; 511 Church Ave, Kensington, NY 11218; (718) 484-0033 
Little Ones; Preschools, Child Care & Day Care, Summer Camps; 5.0 star rating; 2 reviews; Hunters Point, Long Island City; 474 48th Ave, Long Island City, NY 11109; (718) 392-1254 
Little Red Riding Hood Corporation; Preschools; 0; 0; Prospect Lefferts Gardens; 237 Lefferts Ave, Brooklyn, NY 11225; (516) 425-3069 
Little Red Rocket; Party & Event Planning, Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Washington Heights; 875 W 181st St, New York, NY 10033; (212) 543-2393 
Little Scholars On Farmers; Preschools, Child Care & Day Care; 0; 0; Jamaica; 11725 Farmers Blvd, Saint Albans, NY 11412; (718) 949-2390 
Little Scholars; Child Care & Day Care, Preschools; 2.5 star rating; 3 reviews; Gravesend; 52 Quentin Rd, Brooklyn, NY 11223; (718) 373-7046 
Little Stars Three Preschool; Recreation Centers, Child Care & Day Care, Party & Event Planning; 0; 0; Baychester; 1420 Burke Ave, Bronx, NY 10469; (347) 947-3171 
Little Stars Too Preschool; Recreation Centers, Child Care & Day Care, Party & Event Planning; 0; 0; Pelham Gardens; 1083 Allerton Ave, Bronx, NY 10469; (718) 515-8800 
Little Sun People; Child Care & Day Care; 5.0 star rating; 4 reviews; Bedford Stuyvesant; 1360 Fulton St, Brooklyn, NY 11216; (718) 789-7330 
Little Sunshine Child Development; Preschools; 0; 0; Bensonhurst; 2102 70th St, Brooklyn, NY 11204; (347) 673-7239 
Little Sunshine Preschool; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Bensonhurst; 1815 85th St, Brooklyn, NY 11214; (347) 921-1815 
Little Sweet Angel Preschool; Preschools; 4.0 star rating; 1 review; Flushing, Murray Hill; 146-27 Beech Ave, Flushing, NY 11355; (718) 888-1819 
Little Sweet Angels; Preschools, Summer Camps; 0; 0; Flushing, Murray Hill; 146-27 Beech Ave, Flushing, NY 11355; (718) 888-1819 
Little Thinkers Group Family Daycare; Child Care & Day Care, Preschools; 4.0 star rating; 4 reviews; Washington Heights; 170th St & Fort Washington Ave, Manhattan, NY 10032; (212) 795-0709 
Little Tykes Daycare; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Country Club; 1364 Kearney Ave, Country Club, NY 10465; (718) 863-9227 
Lolly’s Early Learning Center; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Hunters Point, Long Island City; 5-44 47th Ave, Queens, NY 11101; (718) 729-9071 
Long Island City Family Daycare, Inc; Preschools; 2.0 star rating; 1 review; Long Island City; 40-34 28th St, New York, NY 11101; (347) 669-4009 
Lov In Hands Family Daycare Inc; Preschools, Child Care & Day Care; 2.5 star rating; 2 reviews; Rosedale; 245-35 Newhall Ave, Rosedale, NY 11422; (718) 723-0324 
Love Peace & Joy Child Care; Child Care & Day Care, Preschools; 0; 0; Jamaica; Saint Albans, NY 11412; (718) 264-5555 
Love a Lot Preschool; Elementary Schools, Preschools; 0; 0; Lower East Side; 99 Suffolk St, New York, NY 10002; (212) 529-2650 
Lyceum Kennedy French American School; Elementary Schools, Preschools, Language Schools, Educational Services; 0; 0; Midtown East; 225 E 43rd St, New York, NY 10017; (212) 681-1877 
M & R Sheepshead Bay Preschool; Child Care & Day Care; 0; 0; Sheepshead Bay; 2215 E 23rd St, Brooklyn, NY 11229; (718) 934-2812 
MAMA MABLE’S DAY CARE; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Cambria Heights; 12003 219th St, Cambria Heights, NY 11411; (718) 712-2488 
MB Cultural Garden ECE; Preschools; 5.0 star rating; 1 review; Bedford Park; 2500 University Ave, Bronx, NY 10468; (718) 295-6520 
Mabel Barrett Fitzgerald Day Care Center; Preschools; 0; 0; Upper West Side; 243 W 64th St, New York, NY 10023; (212) 712-9306 
Mandarin Seeds; Tutoring Centers, Preschools, Language Schools; 0; 0; TriBeCa; 100 Reade St, New York, NY 10013; (646) 580-4769 
Mandarin Seeds; Tutoring Centers, Preschools; 5.0 star rating; 1 review; TriBeCa; 279 Church St, New York, NY 10013; (646) 580-4769 
Manhattan Nursery School; Child Care & Day Care, Preschools, Elementary Schools; 3.5 star rating; 5 reviews; Koreatown, Midtown West; 38 W 32nd St, New York, NY 10001; (212) 631-0543 
Manhattan Private School Advisors; Elementary Schools, Preschools; 1.0 star rating; 1 review; Upper West Side; 189 W 89th St, New York, NY 10024; (212) 280-7777 
Manny Cantor Center; Preschools, Cultural Center, Gyms; 3.5 star rating; 14 reviews; Lower East Side; 197 East Broadway, New York, NY 10002; (646) 395-4280 
Maple Street School; Elementary Schools, Middle Schools & High Schools, Preschools; 5.0 star rating; 1 review; Prospect Lefferts Gardens; 21 Lincoln Rd, Brooklyn, NY 11225; (718) 282-3496 
Maria’s Group Child Care; Preschools; 0; 0; Bedford Park; 2661 Marion Ave 3-f, Bronx, NY 10458; (347) 998-2163 
Maryel International Preschool; Preschools; 0; 0; Midtown East, Murray Hill; 28 E 35th Street, New York, NY 10016; (212) 213-2097 
Maryel International Preschool; Preschools; 0; 0; Midtown East, Murray Hill; 28E 35th St, New York, NY 10016; (212) 213-2097 
Maryknoll Kindergarten; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Chinatown; 10 Confucius Plz, New York, NY 10002; (212) 431-8769 
Melissa’s Playschool; Preschools, Child Care & Day Care; 0; 0; Park Slope, South Slope; 448 11th St, Park Slope, NY 11215; (718) 788-1499 
Middleton’s Early Learning Center; Child Care & Day Care, Preschools; 0; 0; Laurelton; 22602 Merrick Blvd, Laurelton, NY 11413; (718) 949-9890 
Milestones UWS Preschool; Preschools; 0; 0; Upper West Side; 319 W 74th St, New York, NY 10023; (917) 273-0776 
Milly’s Daycare; Preschools, Child Care & Day Care; 0; 0; West Farms; 1849 White Plains Rd, East Bronx, NY 10462; (917) 634-9724 
MindfulNEST Center; Preschools; 5.0 star rating; 2 reviews; Stapleton; 45 Tompkins St, Staten Island, NY 10304; (646) 247-7321 
Mini World Preschool; Child Care & Day Care; 0; 0; Tottenville; 7516 Amboy Rd, Staten Island, NY 10307; (718) 948-9535 
Mis Amiguitos Spanish Montessori; Preschools; 5.0 star rating; 1 review; Yorkville, Upper East Side; 309 E 85th St, New York, NY 10028; (212) 470-3204 
Mommy, Music, & Me, Inc.; Preschools, Musical Instruments & Teachers; 0; 0; Beechurst; 150-50 14th Rd, Whitestone, NY 11357; (718) 229-0033 
Mommy, Music, & Me, Inc.; Preschools, Musical Instruments & Teachers; 0; 0; Douglaston; 58-20 Little Neck Parkway, Little Neck, NY 11362; (718) 229-0033 
Mommy, Music, & Me, Inc.; Preschools, Musical Instruments & Teachers; 0; 0; Forest Hills; 71-11 112th, Forest Hills, NY 11375; (718) 229-0033 
Mommy, Music, & Me, Inc.; Preschools, Musical Instruments & Teachers; 0; 0; Long Island City; 44-02 23rd St, Long Island City, NY 11101; (718) 229-0033 
Mommy, Music, & Me; Preschools, Musical Instruments & Teachers, Childbirth Education; 0; 0; Forest Hills; 50 Ascan Avenue, Forest Hills, NY 11375; (718) 229-0033 
Mommy, Music, & Me; Preschools, Musical Instruments & Teachers; 0; 0; Flushing, Hillcrest; 159-16 Union Turnpike, Fresh Meadows, NY 11366; (718) 229-0033 
Mommy, Music, & Me; Preschools, Musical Instruments & Teachers; 0; 0; Forest Hills, Glendale; 73-25 Woodhaven Blvd, Ridgewood, NY 11385; (718) 229-0033 
Moms Family Daycare; Preschools; 4.0 star rating; 1 review; Forest Hills; 69-43 Olcott St, New York, NY 11375; (718) 261-9266 
Montclare Children’s School; Preschools, Elementary Schools; 0; 0; Manhattan Valley; 747 Amsterdam Ave, Manhattan, NY 10025; (212) 865-4020 
Montessori Family School; Preschools, Elementary Schools, Middle Schools & High Schools; 5.0 star rating; 1 review; Midtown East; 323 E 47th Street, New York, NY 10017; (212) 688-5950 
Montessori Kids of Long Island City; Preschools, Specialty Schools; 5.0 star rating; 1 review; Hunters Point, Long Island City; 5 Court Square, New York, NY 11101; (929) 229-1814 
Montessori School of Lefferts Garden; Child Care & Day Care, Preschools; 4.0 star rating; 2 reviews; Prospect Lefferts Gardens; 527 Rogers Ave, Brooklyn, NY 11225; (718) 773-0287 
Montessori School of Manhattan; Preschools; 0; 0; TriBeCa; 53 Beach St, New York, NY 10013; (212) 334-0400 
Montessori School of New York-International; Child Care & Day Care, Preschools, Elementary Schools; 0; 0; Elmhurst; 5530 Junction Blvd, Elmhurst, NY 11373; (718) 857-3341 
Montessori School of Ny; Child Care & Day Care, Preschools, Elementary Schools, Middle Schools & High Schools; 1.0 star rating; 1 review; Midtown East; 347 E 55th Street, New York, NY 10022; (212) 223-4630 
Montgomery Academy; Preschools; 0; 0; Wingate, Crown Heights; 414 Utica Ave, Brooklyn, NY 11213; (718) 493-4774 
Morngsde Day Care Cntr; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Washington Heights, Harlem; 2967 Frederick Douglass B, New York, NY 10039; (212) 281-4142 
Morning Star Preschool; Preschools, Child Care & Day Care; 5.0 star rating; 2 reviews; Bayside; 47-24 Bell Blvd, Bayside, NY 11361; (718) 229-0206 
Morningside Dance Center; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; Upper West Side; 5 W 63rd Street, New York, NY 10023; (212) 875-4100 
Morningside Montessori School; Child Care & Day Care, Preschools, Elementary Schools; 5.0 star rating; 4 reviews; Manhattan Valley; 251 W 100th St, New York, NY 10025; (347) 947-6291 
Mosholu Montefiore Community Center; Preschools; 0; 0; Norwood; 3450 Delalb Ave, New York, NY 10467; (718) 882-4000 
Most Precious Blood Early Childhood; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; Astoria; 3216 36th Street, Astoria, NY 11106; (718) 626-1040 
Most Terrific Child Daycare; Child Care & Day Care, Preschools; 0; 0; Clifton; 555 Tompkins Ave, Staten Island, NY 10305; (718) 273-0334 
Mozarts and Einsteins Preschool; Preschools; 5.0 star rating; 2 reviews; Park Slope; 910 Union St, Brooklyn, NY 11215; (347) 331-0772 
Mrs. Singh’s Daycare; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Queens Village; 214-03 104 Ave, Queens Village, NY 11429; (347) 650-8142 
Ms. Lam Montessori School; Preschools; 0; 0; Williamsburg - North Side; 133 N 8th St, Williamsburg, NY 11249; (646) 660-2807 
Ms. Taylor’s House Preschool; Child Care & Day Care, Preschools; 0; 0; Wingate; 83 East 51st Street, Brooklyn, NY 11203; (800) 477-4380 
Murray Hill Wee Ones Club; Preschools, Kids Activities; 0; 0; Midtown East, Murray Hill; 128 E 36th St, New York, NY 10016; (212) 779-3434 
Mushroom House Day Care Center; Preschools, Child Care & Day Care; 4.5 star rating; 6 reviews; Astoria; 38-00 Ditmars Blvd, Astoria, NY 11105; (718) 606-6161 
Musica Para Mi; Preschools; 0; 0; Harlem; 453 W 148th St, Manhattan, NY 10031; (718) 643-6660 
My Little School House; Preschools; 0; 0; Ozone Park; 107 - 45 89th St, New York, NY 11417; (347) 561-5522 
My Little School; Preschools; 0; 0; Chinatown, TriBeCa, Civic Center; 54 Reade St, New York, NY 10007; (212) 566-6764 
My Little Village; Elementary Schools, Preschools, Child Care & Day Care; 0; 0; East Village, Alphabet City; 33 Avenue A, New York, NY 10009; (212) 253-2430 
My Precious Moments Daycare; Child Care & Day Care, Preschools; 0; 0; Woodhaven; 8509 88th Ave, Woodhaven, NY 11421; (718) 846-1650 
My Sweet Dream Day Care; Child Care & Day Care; 0; 0; Norwood; 115 E Mosholu Pkwy N, Bronx, NY 10467; (347) 980-2182 
NY Kids Club; Preschools, Day Camps, Kids Activities; 3.5 star rating; 7 reviews; Park Slope; 125 5th Ave, New York, NY 11217; (718) 857-0700 
NY Kids Club; Preschools, Day Camps; 2.0 star rating; 5 reviews; Upper East Side; 219 E 67th St, New York, NY 10065; (212) 991-6700 
NY Kids Club; Preschools, Day Camps; 3.5 star rating; 5 reviews; Hunters Point; 4545 Center Blvd, Long Island City, NY 11109; (347) 813-4999 
NY Kids Club; Preschools, Day Camps; 3.5 star rating; 6 reviews; Brooklyn Heights; 182 Henry St, New York, NY 11201; (718) 228-0800 
NY Kids Club; Preschools, Day Camps; 4.0 star rating; 1 review; Battery Park; 393 S End Ave, New York, NY 10280; (212) 991-3000 
NY Kids Club; Preschools, Day Camps; 4.0 star rating; 5 reviews; Flatiron; 38 E 22nd St, New York, NY 10010; (212) 375-1100 
NY Kids Club; Preschools, Day Camps; 4.0 star rating; 7 reviews; Upper West Side; 601 Amsterdam Ave, New York, NY 10024; (212) 721-4400 
NY Kids Club; Preschools, Day Camps; 4.5 star rating; 2 reviews; TriBeCa, Civic Center; 88 Leonard St, New York, NY 10013; (212) 375-1100 
NY Kids Club; Preschools, Day Camps; 5.0 star rating; 2 reviews; Upper West Side; 169 Amsterdam Ave, New York, NY 10023; (212) 721-4100 
NY Kids Club; Preschools, Day Camps; 5.0 star rating; 4 reviews; Williamsburg - North Side; 2 Northside Piers, New York, NY 11249; (718) 782-2622 
NYC Potty Training; Child Care & Day Care; 5.0 star rating; 6 reviews; Midtown East; Manhattan, NY 10022; (646) 590-0937 
NYL William O’Connor Midwood School; Preschools; 5.0 star rating; 1 review; Midwood; 1520 E 13th St, Brooklyn, NY 11230; (718) 382-1060 
Nat Azaro Day Care Center; Elementary Schools, Preschools; 0; 0; Brownsville; 232 Powell Street, Brooklyn, NY 11212; (718) 346-0924 
Nazareth Nursery Montessori School; Preschools; 5.0 star rating; 4 reviews; Chelsea; 216 W 15th St, Manhattan, NY 10011; (212) 243-1881 
New Amsterdam School; Preschools, Child Care & Day Care; 5.0 star rating; 4 reviews; East Village, Alphabet City; 1 Avenue B, Manhattan, NY 10009; (212) 982-1400 
New Generation Preschool; Child Care & Day Care; 0; 0; Flatbush; 2597 Bedford Avenue, Brooklyn, NY 11226; (718) 941-0404 
New York City Explorers; Preschools; 3.5 star rating; 3 reviews; Prospect Heights; 186 Underhill Ave, Brooklyn, NY 11238; (718) 399-6923 
New York Hall Of Science; Museums; 4.0 star rating; 130 reviews; Flushing Meadows; 47-01 111th St, Corona, NY 11368; (718) 699-0005 
Nicole’s Family Daycare; Preschools, Child Care & Day Care; 5.0 star rating; 1 review; Bensonhurst; 1745 85th St, Brooklyn, NY 11214; (347) 587-7469 
Niecia’s Day care; Preschools; 0; 0; Throgs Neck; 261 Kearney Ave, Bronx, NY 10465; (718) 931-6121 
Nightingale Daycare Center; Child Care & Day Care, Preschools; 0; 0; Wingate; 460 Lenox Rd, Brooklyn, NY 11203; (718) 676-1646 
Nija Enterprise Daycare; Preschools, Child Care & Day Care; 4.0 star rating; 1 review; Harlem; 233 W 140th St, Manhattan, NY 10030; (212) 234-1159 
Noah and Friends Daycare; Preschools; 0; 0; Port Richmond; 37 Barker St, Staten Island, NY 10310; (347) 764-2762 
Noah’s Ark Daycare; Preschools, Child Care & Day Care; 0; 0; Mount Hope; 1775 Clay Ave, West Bronx, NY 10457; (347) 862-2253 
Noah’s Ark Preparatory School II; Child Care & Day Care, Preschools; 0; 0; Maspeth; 62-48 Mt Olivet Crescent, Middle Village, NY 11379; (347) 335-0044 
Noah’s Ark Preparatory School III; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Flatbush; 898 Rogers Ave, Brooklyn, NY 11226; (718) 355-9660 
Noah’s Ark Progressive Learning Center; Child Care & Day Care, Preschools, Elementary Schools; 5.0 star rating; 1 review; Bayside; 3820 Bell Boulevard, Bayside, NY 11361; (718) 279-4251 
Noie’s World Daycare; Preschools; 0; 0; Bedford Stuyvesant; 360 Lewis Ave, Brooklyn, NY 11233; (718) 453-1600 
North Side School; Preschools, Child Care & Day Care; 5.0 star rating; 2 reviews; Bay Terrace; 16-50 Utopia Pkwy, Whitestone, NY 11357; (718) 229-5050 
NoteWorthy Preschool; Preschools; 0; 0; Upper West Side; 41 W 86th St, New York, NY 10024; (212) 595-3506 
Old First Nursery School; Child Care & Day Care, Preschools; 5.0 star rating; 8 reviews; Park Slope; 729 Carroll St, Brooklyn, NY 11215; (347) 460-6367 
Open Arms Preschool; Preschools; 0; 0; Gramercy; 155 E 22nd St, New York, NY 10010; (914) 806-3949 
Our Kids Place; Preschools, Summer Camps; 0; 0; Laurelton; 137-25 Brookville Blvd, New York, NY 11422; (718) 276-3722 
Our Lady of Pompeii School; Elementary Schools, Preschools, Middle Schools & High Schools; 0; 0; West Village; 240 Bleecker St, New York, NY 10014; (212) 242-4147 
Our Savior Lutheran Church & Preschool; Child Care & Day Care; 0; 0; Jamaica; 9004 175th Street, Jamaica, NY 11432; (718) 739-7452 
Our Saviour Lutheran School Early Childhood; Child Care & Day Care, Preschools, Elementary Schools; 4.5 star rating; 3 reviews; Rego Park, Middle Village; 6433 Woodhaven Blvd, Rego Park, NY 11374; (718) 897-4343 
Our Saviour’s Lutheran Preschool; Elementary Schools, Preschools, Religious Organizations; 0; 0; Bay Ridge; 414 80th Street, Brooklyn, NY 11209; (718) 745-0020 
P S 207 Queens Pre School; Elementary Schools, Preschools; 0; 0; Lindenwood; 15915 88th St, Howard Beach, NY 11414; (718) 641-3807 
PS 200 Benson School; Elementary Schools; 5.0 star rating; 1 review; Bath Beach; 1940 Benson Ave, Brooklyn, NY 11214; (718) 236-5466 
PS 24; Preschools, Middle Schools & High Schools; 3.0 star rating; 1 review; Flushing, Murray Hill; 14111 Holly Ave, Flushing, NY 11355; (718) 445-8176 
PS 84; Preschools, Elementary Schools; 3.0 star rating; 1 review; Williamsburg - South Side; 250 Berry St, New York, NY 11249; (718) 384-8063 
Pantomima; Educational Services, Preschools; 0; 0; Chinatown, TriBeCa; 462 36th St, Brooklyn, NY 11232; (718) 499-0216 
Paradigm Kids; Child Care & Day Care; 0; 0; Financial District; 8-10 Liberty Pl, New York, NY 10038; (917) 475-1119 
Park Av Christian Church Day Schl; Child Care & Day Care, Elementary Schools, Preschools; 0; 0; Upper East Side; 1010 Park Avenue, New York, NY 10028; (212) 288-0530 
Park Slope Child Care Collective; Child Care & Day Care; 5.0 star rating; 1 review; Park Slope; 186 St. Johns Pl, Brooklyn, NY 11217; (718) 399-0397 
Park Slope Montessori; Preschools; 5.0 star rating; 5 reviews; Park Slope; 792 Union St, Brooklyn, NY 11215; (347) 560-3252 
Parkway Preschool; null; 0; 0; Flatlands, East Flatbush; 888 E 56th St, Brooklyn, NY 11234; (718) 241-5716 
Parsons Pre School; Elementary Schools, Preschools; 0; 0; Jamaica; 8460 Parsons Blvd, Jamaica, NY 11432; (718) 297-7118 
