 Dental Aquaro PC; General Dentistry; 0; 0; Elmhurst; 9603 Roosevelt Avenue, Corona, NY 11368; (718) 396-9711 
Jamaica Sexually Transmitted Diseases ; null; 0; 0; Jamaica; 9037 Parsons Blvd, Jamaica, NY 11432; (718) 262-5572 
James Doundoulakis, DMD; General Dentistry, Cosmetic Dentists; 1.0 star rating; 2 reviews; Upper East Side; 53 E 66th St, New York, NY 10065; (212) 517-3365 
James Koretz, DMD; General Dentistry; 5.0 star rating; 12 reviews; Yorkville, Upper East Side; 363 E 76th St, New York, NY 10021; (212) 734-0234 
James Leonard Opticians; Eyewear & Opticians, Optometrists; 4.5 star rating; 16 reviews; Gowanus; 309 Smith St, Brooklyn, NY 11231; (718) 222-8300 
Janas Dental; General Dentistry; 3.0 star rating; 2 reviews; Westchester Square; 1401 A Overing, Bronx, NY 10461; (718) 239-8241 
Janet K Yu, DMD; General Dentistry; 5.0 star rating; 14 reviews; Midtown East; 172 Lexington Ave, New York, NY 10016; (646) 784-7909 
Jane’s Apotherapy & Massage Therapy; Physical Therapy, Massage Therapy; 4.0 star rating; 12 reviews; Midtown West; 119 W 57th St, New York, NY 10019; (212) 586-9550 
Janlian Medical Group; Doctors; 1.0 star rating; 3 reviews; Midwood, Sheepshead Bay; 1508 Avenue U, Brooklyn, NY 11229; (718) 375-9075 
Janlian Medical Group; Doctors; 2.0 star rating; 13 reviews; Borough Park; 833 58th Street, Brooklyn, NY 11220; (718) 686-8888 
Janlian Medical Group; Doctors; 2.5 star rating; 5 reviews; Bensonhurst; 7217 18th Ave, Brooklyn, NY 11204; (718) 837-7582 
Janys Gelberg, DDS; Cosmetic Dentists; 0; 0; Midtown East, Murray Hill; 80 Park Ave, New York, NY 10016; (212) 594-5706 
Jarrett Pediatric ; Pediatric Dentists; 0; 0; Westchester Square; 1516 Jarrett Pl, Bronx, NY 10461; (718) 405-8194 
Jasmin Balance Life Therapy - Jasmin Terrany, LMHC; Counseling & Mental Health; 5.0 star rating; 2 reviews; Midtown East; 115 E 57th St, New York, NY 10022; (212) 464-8575 
Jason E. Holden, DMD; Cosmetic Dentists; 5.0 star rating; 1 review; Midtown East; 509 Madison Ave, New York, NY 10022; (212) 753-3723 
Jason Kim, DDS; General Dentistry; 5.0 star rating; 1 review; Flushing, Murray Hill; 144-48 Roosevelt Ave, Ste MD-B, Flushing, NY 11354; (718) 886-4545 
Jason Wheeler, PhD; Counseling & Mental Health; 0; 0; Flatiron; 156 5th Ave, New York, NY 10010; (646) 823-6113 
Javier Zelaya, MD; Dermatologists, Skin Care; 1.5 star rating; 15 reviews; Windsor Terrace, South Slope; 254 Prospect Park W, Brooklyn, NY 11215; (718) 832-3313 
Jay A Seitz, PHD PC; Counseling & Mental Health; 1.5 star rating; 19 reviews; Midtown West; 450 7th Ave, New York, NY 10123; (212) 594-0423 
Jay H Harvey, MD; Dermatologists, Laser Hair Removal; 4.0 star rating; 4 reviews; Upper East Side; 45 E 62nd St, New York, NY 10065; (212) 755-2237 
Jed M. Best, DDS; Pediatric Dentists; 4.5 star rating; 6 reviews; Upper West Side; 180 W End Ave, New York, NY 10023; (212) 362-5517 
Jeffres Community Acupuncture Center; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 7 reviews; Midtown West; 255 W 36th St, New York, NY 10018; (212) 542-0459 
Jeffrey A Goldstein, MD; Orthopedists; 5.0 star rating; 2 reviews; Financial District; 19 Beekman St, New York, NY 10038; (212) 513-7711 
Jeffrey D Nightingale, MD, PC; Ophthalmologists, Laser Eye Surgery/Lasik; 5.0 star rating; 6 reviews; Upper West Side; 211 Central Park W, New York, NY 10024; (646) 679-1147 
Jeffrey Ditzell, DO; Psychiatrists; 0; 0; Midtown East, Murray Hill; 308 E 38th St, New York, NY 10016; (917) 842-5337 
Jeffrey Dressel, DDS PC; General Dentistry; 5.0 star rating; 36 reviews; Carroll Gardens; 62 2nd Pl, Brooklyn, NY 11231; (718) 625-7147 
Jeffrey G Apfel, DDS; General Dentistry, Cosmetic Dentists; 1.0 star rating; 1 review; Forest Hills; 11020 73rd Rd, Forest Hills, NY 11375; (718) 793-0800 
Jeffrey Lemler, DDS; Periodontists; 5.0 star rating; 4 reviews; Midtown East; 10 E 53rd St, New York, NY 10022; (212) 983-1080 
Jeffrey Yu, MD OB/GYN; Obstetricians & Gynecologists; 5.0 star rating; 11 reviews; Upper West Side; 185 W End Ave, Manhattan, NY 10023; (212) 496-9800 
Jen Becker Acupuncture and Chinese Herbal Medicine; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 11 reviews; SoHo; 50 Greene St, Manhattan, NY 10013; (347) 699-6977 
Jennan Comprehesive Medical; Family Practice; 1.5 star rating; 3 reviews; Borough Park; 762 59th St, Brooklyn, NY 11220; (718) 567-8899 
Jenne Wax, MD; Internal Medicine, Family Practice; 5.0 star rating; 1 review; Financial District; 30 Broad Street, New York, NY 10004; (212) 530-0630 
Jennifer Grodberg, MD; Internal Medicine; 4.5 star rating; 6 reviews; Brooklyn Heights; 300 Cadman Plz W, Brooklyn, NY 11201; (929) 210-6000 
Jennifer K Shin, DDS; General Dentistry; 4.5 star rating; 50 reviews; Midtown East; 286 Madison Ave, New York, NY 10017; (212) 683-4428 
Jennifer S Stone, LCSW; Counseling & Mental Health; 0; 0; Midtown East, Murray Hill; 280 Madison Ave, New York, NY 10016; (646) 926-4316 
Jenny Velarde-Ragan, MA LCAT RDT; Counseling & Mental Health; 5.0 star rating; 1 review; South Slope; 247 Prospect Ave, Brooklyn, NY 11215; (347) 241-1187 
Jeremy D Schwartz, LCSW; Counseling & Mental Health; 0; 0; Prospect Heights; 10 Plaza St E, Brooklyn, NY 11238; (917) 512-1274 
Jerome Auto ; null; 0; 0; Fordham; 2151 Jerome Ave, Bronx, NY 10453; (718) 367-4100 
Jessica A. Pandich, DDS; Cosmetic Dentists; 5.0 star rating; 9 reviews; Midtown East; 18 East 41st St, 1st Fl, New York, NY 10017; (646) 452-9300 
Jessica Allan, MD; Doctors; 2.5 star rating; 6 reviews; Hell's Kitchen, Midtown West; 333 W 57th St, New York, NY 10019; (212) 247-6358 
Jessica Wong; Acupuncture; 0; 0; Midtown West; 119 W 57th St, New York, NY 10019; (212) 974-2880 
Jesus M. Pichardo, MD; Pediatricians; 3.0 star rating; 4 reviews; Bushwick, Ridgewood; 1623 Weirfield St, Ridgewood, NY 11385; (718) 456-4600 
JetBabe; Cosmetic Surgeons; 0; 0; Midtown East; 445 Park Ave, New York City, NY 10022; (855) 305-2223 
Jhagroo George V, MD; Gastroenterologist; 1.5 star rating; 2 reviews; Ozone Park; 12506 Liberty Ave, South Richmond Hill, NY 11419; (718) 738-2614 
Jin Wang, DDS; Periodontists, Oral Surgeons; 5.0 star rating; 5 reviews; Midtown East; 209 E 56th St, Manhattan, NY 10022; (347) 380-4800 
Jing J Cai ,OD, PLLC; Optometrists, Eyewear & Opticians; 5.0 star rating; 5 reviews; Flushing; 7305 168Th St, Queens, NY 11366; (347) 878-9598 
Jing Xin Yuan; Traditional Chinese Medicine, Buddhist Temples, Yoga; 5.0 star rating; 1 review; Bensonhurst; 6627 Bay Pkwy, Brooklyn, NY 11204; (718) 837-3742 
Joan Li, MD PC; Ophthalmologists; 2.5 star rating; 3 reviews; Downtown Flushing, Flushing; 13527 38th Ave, Flushing, NY 11354; (718) 445-9088 
Joannie Wu, L.Ac.; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 9 reviews; Flatiron; 12 W 27th St, New York, NY 10001; (917) 740-4673 
Joel M Solomon MD; Ophthalmologists; 4.0 star rating; 7 reviews; Midtown East, Murray Hill, Kips Bay; 614 2nd Ave, New York, NY 10016; (212) 689-5080 
Joffe Eugene, DDS; General Dentistry; 1.0 star rating; 1 review; Jackson Heights; 7910 34th Ave, Jackson Heights, NY 11372; (718) 565-1332 
John A Ferrette, DDS; General Dentistry; 5.0 star rating; 1 review; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 683-2990 
John A Perrotti, MD; Cosmetic Surgeons; 5.0 star rating; 4 reviews; Upper East Side; 330 E 63rd St, New York, NY 10065; (212) 861-6363 
John A Rubinstein, DMD, PC; General Dentistry; 0; 0; Midtown East; 501 5th Ave, New York, NY 10017; (212) 725-2950 
John A. Galli DDS; Oral Surgeons, Pediatric Dentists, Orthodontists; 2.0 star rating; 4 reviews; Bay Ridge; 365 Bay Ridge Pkwy, Brooklyn, NY 11209; (718) 680-2525 
John Jurcisin, DPM, ABPS, FACFAS; Podiatrists; 5.0 star rating; 8 reviews; Midtown East; 133 E 58th St, Ste 506, New York, NY 10022; (212) 225-8070 
John Kang, MD; Cosmetic Surgeons; 0; 0; Downtown Flushing, Flushing; 41-3 Union St, Flushing, NY 11355; (718) 939-6050 
John Lathrop Physical Therapy; Physical Therapy; 5.0 star rating; 2 reviews; Midtown East, Murray Hill; 370 Lexington Ave, New York, NY 10017; (646) 455-1312 
John Om , DDS; Orthodontists; 5.0 star rating; 1 review; Flushing, Murray Hill; 3522 154th St, Flushing, NY 11354; (718) 460-1802 
John Siegal, DDS; General Dentistry; 5.0 star rating; 15 reviews; Greenwich Village; 49 W 12th St, New York, NY 10011; (212) 627-2929 
John Weigand Audiology; Hearing Aid Providers; 0; 0; Wingate; 445 Lenox Rd, Brooklyn, NY 11203; (718) 270-3976 
Joint Effort Physical Therapy; Physical Therapy; 5.0 star rating; 1 review; Upper West Side; 211 W 71st St, New York, NY 10023; (212) 721-6200 
Jonathan Aviv, MD, FACS; Ear Nose & Throat; 5.0 star rating; 2 reviews; Yorkville, Upper East Side; 210 E 86th St, 9th Fl, New York, NY 10028; (212) 722-5570 
Jonathan J Vitale, DO, MS; Family Practice, Osteopathic Physicians; 0; 0; Midtown East; 489 5th Ave, 3rd Floor, New York, NY 10017; (212) 530-2288 
Jonathan K. Ligh, MD; Ophthalmologists; 5.0 star rating; 5 reviews; Midtown East, Murray Hill; 345 E 37th St, New York, NY 10016; (212) 983-4510 
Jonathan M Vapnek MD PC; Urologists; 5.0 star rating; 1 review; Yorkville, Upper East Side; 229 E 79th St, New York, NY 10075; (212) 717-9500 
Jonathan M. Wormhoudt, PhD; Psychologists; 0; 0; Chelsea; 460 W 24th St, New York, NY 10011; (646) 741-4194 
Jonathan R. Stieber, M.D.; Orthopedists; 4.5 star rating; 11 reviews; Midtown East; 820 2nd Ave, New York, NY 10017; (212) 883-8868 
Jonathan Schwartz, DDS; General Dentistry; 5.0 star rating; 1 review; Midtown West; 29 W 57th St, New York, NY 10019; (212) 928-1000 
Jonathan Silberlicht, MD; Family Practice, Naturopathic/Holistic; 5.0 star rating; 1 review; Flatiron; 35 E 21st Street, New York, NY 10010; (212) 530-0659 
Jonathan Zeichner, DDS PC; Periodontists; 1.0 star rating; 1 review; Upper East Side; 57 E 72nd St, New York, NY 10021; (212) 772-3355 
Jordan Stern, MD; Ear Nose & Throat, Audiologist, Sleep Specialists; 4.0 star rating; 6 reviews; Financial District; 65 Broadway, New York, NY 10006; (212) 683-0174 
Joseph Manfredi, DDS; Orthodontists, Cosmetic Dentists, General Dentistry; 3.5 star rating; 5 reviews; Gramercy, Flatiron; 250 Park Ave S, Manhattan, NY 10003; (212) 995-8930 
Joseph P Addabbo Family; Medical Centers; 1.0 star rating; 1 review; Somerville; 6200 Beach Channel Dr, Arverne, NY 11692; (718) 945-7150 
Joseph S Dallessandro, DDS; General Dentistry; 4.5 star rating; 32 reviews; Upper East Side; 360 E 72nd St, New York, NY 10021; (212) 988-1089 
Josh Ehrlich DPM - ; Podiatrists; 0; 0; Borough Park; 1535 51st St, Brooklyn, NY 11219; (718) 436-8886 
Joshua Zeichner, MD; Dermatologists; 2.5 star rating; 3 reviews; East Harlem; 5 E 98th St, New York, NY 10029; (212) 241-9728 
Josiane Lederman; Dermatologists, Hair Removal; 2.0 star rating; 12 reviews; Bullshead; 116 Lamberts Ln, Staten Island, NY 10314; (718) 370-0422 
Joyce Cheung, MD; Obstetricians & Gynecologists; 3.5 star rating; 5 reviews; Downtown Flushing, Flushing; 136-20 38th Ave, Flushing, NY 11354; (718) 353-7701 
Joyce Norris, DC; Chiropractors, Nutritionists; 0; 0; Greenwich Village; 80 East 11 St, New York, NY 10003; (347) 989-4720 
Joyce Silver, LCSW; Counseling & Mental Health; 0; 0; SoHo; 127 Greene St, Manhattan, NY 10012; (212) 982-6881 
Joyce Yuan, Ph.D.; Psychologists; 0; 0; Midtown East; 280 Madison Ave, New York, NY 10016; (347) 708-6028 
Julia Alikina, L Ac; Acupuncture, Reflexology; 5.0 star rating; 1 review; Fort Hamilton, Bay Ridge; 277 88 St, Brooklyn, NY 11209; (347) 325-1515 
Julian Adler, LCSW, Esq.; Counseling & Mental Health; 0; 0; Midtown East, Murray Hill; 117 E 37th St, Manhattan, NY 10016; (914) 482-2391 
Julian Manetti-Cusa, PsyD; Psychologists; 0; 0; Union Square, Flatiron; 41 Union Sq W, Manhattan, NY 10003; (917) 791-3049 
Julie Lanning Von, DAOM; Acupuncture, Naturopathic/Holistic; 5.0 star rating; 2 reviews; Nolita; 280 Mott St, New York, NY 10012; (718) 300-0579 
Juliette Blount, NP; Internal Medicine, Family Practice, Urgent Care; 0; 0; Midtown East; 489 5th Ave, New York, NY 10017; (212) 530-2288 
Jun Acupuncture; Acupuncture, Traditional Chinese Medicine; 0; 0; Flatiron; 900 Broadway, Manhattan, NY 10003; (347) 535-2794 
Jungian Oriented Psychotherapy; Psychologists; 0; 0; Upper West Side; 155 W 81st St, New York, NY 10024; (212) 560-0904 
Just Melt; Medical Spas, Skin Care; 2.5 star rating; 11 reviews; Midtown East, Murray Hill; 30 E 40th St, Manhattan, NY 10016; (212) 447-1155 
Justina Ngo, DC, CCSP; Chiropractors; 5.0 star rating; 2 reviews; Upper West Side; 11 W 67th St, Manhattan, NY 10023; (201) 880-8866 
KLM OPHTHALMOLOGY; Optometrists; 5.0 star rating; 3 reviews; Midwood; 1301 Ave J, Brooklyn, NY 11230; (718) 645-0600 
Kahn Dermatology; Dermatologists; 2.5 star rating; 3 reviews; Oakwood, New Dorp; 2627C Hylan Blvd, Staten Island, NY 10306; (718) 351-8101 
Kalman Oral Surgery & Implant Center; Oral Surgeons, Doctors; 5.0 star rating; 45 reviews; Middle Village; 60-70 Woodhaven Blvd., Unit C-2, New York, NY 11373; (718) 897-6400 
Kamau Kokayi, MD; Naturopathic/Holistic, Acupuncture; 4.5 star rating; 6 reviews; Prospect Heights; 41 Eastern Pkwy, Brooklyn, NY 11238; (718) 622-2042 
Kamlet David A MD PC; Doctors; 3.0 star rating; 4 reviews; Hell's Kitchen, Midtown West; 345 W 58th St Bsmt, New York, NY 10019; (212) 581-4797 
Karen Abate, PhD, NP; Doctors; 0; 0; Midtown East; 489 5th Ave, 3rd Floor, New York, NY 10017; (212) 530-2288 
Karen Altszuler, DDS; General Dentistry; 5.0 star rating; 6 reviews; Midtown East; 501 Madison Ave, Manhattan, NY 10022; (212) 688-2820 
Karen Carlson, L.Ac.; Acupuncture; 5.0 star rating; 2 reviews; Union Square, Gramercy, Flatiron; 32 Union Sq E, Manhattan, NY 10003; (347) 766-3075 
Karen Horney ; Psychiatrists; 2.5 star rating; 3 reviews; Upper East Side; 329 E 62nd St, New York, NY 10021; (212) 838-4333 
Karin Wexler, PhD; Speech Therapists; 0; 0; Morningside Heights; 111 N Central Park Ave, Hartsdale, NY 10530; (646) 640-6674 
Karl Goodman, MD; Doctors; 3.5 star rating; 8 reviews; Upper West Side; 27 W 86th St, New York, NY 10024; (212) 769-4149 
Karuna Naturopathic Healthcare; Naturopathic/Holistic; 4.0 star rating; 18 reviews; West Village; 230 W. 13th St, New York, NY 10011; (646) 453-7333 
Katherine Reinholtz, ND; Naturopathic/Holistic; 0; 0; Flatiron; 1133 Broadway, New York, NY 10010; (917) 791-0730 
Kathleen Mulligan, MD; Obstetricians & Gynecologists, Internal Medicine; 4.0 star rating; 40 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10014; (212) 206-1610 
Keeley Teemsma, MA, MSW, LCSW; Psychologists; 0; 0; Bay Ridge; 7901 4th Ave, Brooklyn, NY 11209; (516) 318-8969 
Kehoe John MD; Doctors; 2.5 star rating; 7 reviews; Fort Hamilton, Bay Ridge; 9201 4th Ave, Brooklyn, NY 11209; (718) 921-3800 
Ken Voorhees, LCSW; Counseling & Mental Health; 5.0 star rating; 7 reviews; Chelsea; 235 W 18th St, Manhattan, NY 10011; (347) 831-1799 
Kenneth A Levey, MD; Obstetricians & Gynecologists; 2.5 star rating; 27 reviews; Financial District; 90 Maiden Ln, New York, NY 10038; (646) 290-9560 
Keris Dermatology; Dermatologists; 3.0 star rating; 13 reviews; Flatiron; 166 5th Ave, New York, NY 10010; (212) 229-0333 
Ketly Michel, MD; Obstetricians & Gynecologists; 4.0 star rating; 10 reviews; Yorkville, Upper East Side; 261 E 78th, New York, NY 10075; (212) 249-4501 
Kevin Tehrani - Aristocrat Plastic Surgery & MedAesthetics; Medical Spas, Cosmetic Surgeons; 3.5 star rating; 9 reviews; Midtown West; 30 Central Park S, New York, NY 10019; (212) 439-9900 
Kew Gardens Dialysis Center; Dialysis Clinics; 0; 0; Kew Gardens; 120-46 Queens Blvd, Kew Gardens, NY 11415; (718) 793-3341 
Khanijou Pradeep DDS; General Dentistry; 1.0 star rating; 2 reviews; Cypress Hills; 120 Grant Avenue, Brooklyn, NY 11208; (718) 827-6565 
Khanijou Rita MD; Doctors; 1.0 star rating; 1 review; Highland Park; 3000 Fulton St, Brooklyn, NY 11208; (347) 405-6794 
Kiersten Rickenbach, MD; Dermatologists; 4.0 star rating; 22 reviews; Fort Greene; 121 Dekalb Ave, Brooklyn, NY 11201; (718) 250-6767 
Kim Laudati Skin Care; Skin Care, Medical Spas; 4.0 star rating; 79 reviews; Midtown East; 274 Madison Ave, New York, NY 10016; (917) 543-0787 
Kim’s Oriental Medical ; Acupuncture; 0; 0; Douglaston; 25418 Northern Boulevard, Little Neck, NY 11362; (718) 279-0550 
Kings County Hospital; Hospitals; 2.0 star rating; 36 reviews; Wingate; 451 Clarkson Ave, Brooklyn, NY 11203; (718) 245-3131 
Kips Bay Endoscopy Ctr; Internal Medicine, Medical Centers; 3.0 star rating; 7 reviews; Midtown East, Kips Bay; 535 2nd Ave, New York, NY 10016; (212) 889-5477 
Kips Bay Gynecology; Obstetricians & Gynecologists; 1.5 star rating; 67 reviews; Midtown East, Flatiron; 419 Park Ave S, New York, NY 10016; (212) 545-5400 
Kissena Plaza Dental; Cosmetic Dentists, General Dentistry; 5.0 star rating; 4 reviews; Kew Gardens Hills, Flushing; 70-64 Kissena Blvd, New York, NY 11367; (718) 268-8888 
Kiwi Physical Therapy; Physical Therapy, Trainers; 4.5 star rating; 7 reviews; Midtown East; 22 E 41st St, New York, NY 10017; (212) 686-1112 
Klafter Robert, MD; Oncologist; 0; 0; Upper East Side; 12 E 86th St, New York, NY 10028; (212) 861-6660 
Klein Susan MD; Doctors; 4.5 star rating; 4 reviews; Upper East Side; 120 E 79th St, New York, NY 10021; (212) 861-0400 
Kleinbart Elaine LCSW; Counseling & Mental Health; 3.5 star rating; 2 reviews; Greenwich Village; 88 University Place, New York, NY 10003; (212) 242-9085 
Kleydman Dermatology; Dermatologists; 4.5 star rating; 7 reviews; Sheepshead Bay; 2960 Ocean Ave, Brooklyn, NY 11235; (718) 676-6900 
Kling Dermatology - Dr. Alan Kling, M.D.; Dermatologists, Skin Care; 2.5 star rating; 14 reviews; Upper East Side; 1000 Park Avenue, New York, NY 10028; (212) 288-1300 
Kling Dermatology - Dr. Alan Kling, M.D.; Dermatologists, Skin Care; 4.0 star rating; 21 reviews; Park Slope, Prospect Heights; 27 Eighth Avenue,, Brooklyn, NY 11217; (718) 636-0425 
Knickerbocker Dialysis; Dialysis Clinics; 0; 0; Grasmere; 1139 Hylan Blvd, Staten Island, NY 10305; (718) 816-4913 
Ko Wilson MD; Doctors; 1.5 star rating; 2 reviews; Little Italy; 128 Mott St, New York, NY 10013; (212) 732-0073 
Kong DO Chinese ; null; 0; 0; Lower East Side, Chinatown; 133 Canal St, New York, NY 10002; (212) 966-3922 
Korean Medical  Clinic  Center; null; 0; 0; Downtown Flushing, Flushing; 4176 Parsons Boulevard, Flushing, NY 11355; (718) 961-9300 
Krisczar J Bungay, MD; Internal Medicine; 4.5 star rating; 31 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10044; (212) 620-0144 
Ky Alex Jenny, MD; Doctors; 3.5 star rating; 2 reviews; East Harlem; 5 E 98th St, New York, NY 10029; (212) 241-3547 
LDFCB Dentistry for Children, LLC; Pediatric Dentists; 0; 0; Norwood; 3201 Grand Concourse, Bronx, NY 10468; (718) 367-7645 
LIC Urgent Med; Family Practice, Urgent Care; 3.5 star rating; 12 reviews; Astoria; 33-16 Broadway, Astoria, NY 11106; (718) 204-7550 
LIJ Satellite Dialysis Facility; Dialysis Clinics; 0; 0; Queens Village; 220-22 Hillside Ave, Queens Village, NY 11427; (718) 975-1300 
LK advanced dentistry; Dentists; 5.0 star rating; 22 reviews; Hell's Kitchen, Midtown West; 330 W 58th St, New York, NY 10019; (212) 600-5221 
LLM Dental Associates, PC; Dentists; 4.5 star rating; 17 reviews; Midtown West; 1 Rockefeller Plz, New York, NY 10020; (212) 581-2442 
La Providencia Family Health Center; Doctors; 2.5 star rating; 2 reviews; Bushwick; 1280 Dekalb Ave, Brooklyn, NY 11221; (718) 455-9000 
LaGuardia Place Pediatrics; Pediatricians; 5.0 star rating; 4 reviews; Greenwich Village; 505 Laguardia Pl, New York, NY 10012; (212) 505-0222 
Labcorp; Medical Centers; 4.0 star rating; 15 reviews; Meatpacking District, West Village; 324 W 14th St, Manhattan, NY 10014; (212) 463-7390 
Lacroix Family Chiropractic; Chiropractors; 5.0 star rating; 1 review; Brooklyn Heights; 16 Court St, Brooklyn, NY 11241; (718) 855-3100 
Lafayette Health Mgmt Group; Doctors; 1.0 star rating; 3 reviews; Bedford Stuyvesant; 468 Lafayette Avenue, Brooklyn, NY 11205; (718) 399-6234 
Lam Robert Dentist; General Dentistry; 4.0 star rating; 1 review; Chinatown; 254 Canal St, New York, NY 10013; (212) 925-7962 
Landor Michael, MD; Doctors; 5.0 star rating; 1 review; Kew Gardens Hills, Flushing; 6920 Main St, Flushing, NY 11367; (718) 793-9020 
Larisa Litvinova, MD; Internal Medicine; 3.5 star rating; 10 reviews; Park Slope, Prospect Heights; 20 8th Ave, Brooklyn, NY 11217; (646) 202-2968 
Larraga Grace, DMD; General Dentistry; 4.5 star rating; 2 reviews; Elmhurst; 4237 Hampton St, Elmhurst, NY 11373; (718) 533-0669 
Laser & Skin Surgery Center of NY; Dermatologists, Laser Hair Removal, Cosmetic Surgeons; 3.5 star rating; 16 reviews; Midtown East, Murray Hill, Kips Bay; 317 E 34th St, New York, NY 10016; (212) 686-7306 
Laser & Varicose Vein Treatment Center; Medical Centers; 0; 0; Borough Park; 966 50th St, Brooklyn, NY 11219; (718) 435-1777 
Laser Nail Therapy ; Medical Centers; 0; 0; Midtown East, Midtown West; 501 Fifth Ave, New York, NY 10037; (800) 672-0625 
Laser Nail Therapy ; Medical Centers; 0; 0; Upper West Side; 1 W 85th St, Manhattan, NY 10024; (800) 672-0625 
Laser Nail Therapy ; Medical Spas; 5.0 star rating; 1 review; Astoria; 3116 30th Ave, Long Island City, NY 11102; (800) 672-0625 
Laser Skin  Clinic  & Plastic Surgery; Dermatologists; 0; 0; Flushing, Auburndale; 194-16 Northern Blvd, Flushing, NY 11358; (718) 281-1100 
Laser Skin ; Dermatologists; 2.5 star rating; 3 reviews; Bayside; 222-15 Northern Blvd, Bayside, NY 11361; (718) 281-1100 
LaserKlinic; Medical Spas, Laser Hair Removal, Dermatologists; 1.0 star rating; 4 reviews; Astoria; 31-24 Steinway St, Queens, NY 11103; (718) 956-5600 
Laserone; Doctors; 5.0 star rating; 1 review; Midtown East, Murray Hill; 101 Park Ave, New York, NY 10178; (212) 697-5700 
Laserworks; Laser Hair Removal, Medical Spas; 3.5 star rating; 7 reviews; Midtown West; 421 7th Ave, New York, NY 10001; (917) 658-4866 
Lau On H, MD; Internal Medicine; 5.0 star rating; 1 review; Chinatown; 139 Centre St, New York, NY 10013; (212) 267-3773 
Laughing Sage Wellness; Nutritionists, Obstetricians & Gynecologists, Fertility; 5.0 star rating; 1 review; Theater District, Midtown West; 161 W. 54th St, New York, NY 10019; (212) 581-0001 
Laura Florman, LCSW; Professional Services, Psychologists; 5.0 star rating; 1 review; Financial District; 160 Broadway, New York, NY 10038; (212) 693-0201 
Laura Guderian, MD; Internal Medicine, Family Practice; 5.0 star rating; 2 reviews; Flatiron; 35 E 21st Street, New York, NY 10010; (212) 530-0659 
Laura M Kelly, PhD; Counseling & Mental Health; 0; 0; Flatiron; 928 Broadway, Manhattan, NY 10010; (917) 833-3783 
Laura Olsen, MS RD CDN; Nutritionists; 0; 0; Marine Park, Gerritson Beach; 2726 Gerritsen Ave, Brooklyn, NY 11229; (718) 769-8820 
Laura Pietrzak, MSHS, PA-C; Medical Spas, Skin Care, Cosmetic Surgeons; 5.0 star rating; 1 review; Upper East Side; 3 69th St, New York, NY 10021; (212) 396-2500 
Laura Stadler Nutrition; Nutritionists; 0; 0; Flatiron; 16 W 23rd St, Manhattan, NY 10010; (646) 397-8384 
Lauren Fisher, PhD; Counseling & Mental Health; 0; 0; Flatiron; 96 5th Ave, New York, NY 10011; (781) 608-0213 
Laurence Weissman, MD; Ophthalmologists; 0; 0; Elmhurst; 8305 Grand Ave, Elmhurst, NY 11373; (718) 429-0300 
Laurie J Polis, MD; Dermatologists; 2.5 star rating; 8 reviews; Little Italy; 197 Grand St, New York, NY 10013; (212) 431-1600 
Lawrence J Levitan, MD; Obstetricians & Gynecologists; 2.0 star rating; 14 reviews; Midtown East, Murray Hill; 106 E 36th St, New York, NY 10016; (212) 679-2223 
Lawrence M Spindel, DDS; Cosmetic Dentists; 5.0 star rating; 5 reviews; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 685-0312 
Lawrence S Forgacs, OD; Optometrists; 3.0 star rating; 14 reviews; Midtown East; 425 Madison Ave, New York, NY 10017; (212) 583-9000 
Lawrence S Reed, MD; Cosmetic Surgeons; 4.0 star rating; 1 review; Upper East Side; 45 E 85th St, New York, NY 10028; (212) 772-8300 
Leaf Dental; Cosmetic Dentists, General Dentistry, Pediatric Dentists; 5.0 star rating; 8 reviews; DUMBO; 18 Adams St., Brooklyn, NY 11201; (718) 285-3035 
Leaf Medical; Pediatricians, Internal Medicine, Obstetricians & Gynecologists; 5.0 star rating; 44 reviews; DUMBO; 18 Adams St, Brooklyn, NY 11201; (718) 285-3035 
Leeber Cohen, MD; Medical Spas, Ophthalmologists; 5.0 star rating; 3 reviews; Greenwich Village; 11 5th Ave, New York, NY 10003; (212) 777-1644 
Len Schwarzbaum, DDS; Oral Surgeons, Periodontists; 0; 0; Upper East Side; 115 E 67th St, New York, NY 10065; (212) 457-0945 
Len Schwarzbaum, DDS; Oral Surgeons, Periodontists; 5.0 star rating; 3 reviews; Forest Hills; 71-06 110th St, Forest Hills, NY 11375; (718) 878-4064 
Lenco Diagnostic Laboratories; Laboratory Testing; 1.0 star rating; 2 reviews; Bath Beach, Bensonhurst; 1857 86th St, Brooklyn, NY 11214; (718) 232-1515 
Lenox Hill Healthplex Emergency; Emergency Rooms; 3.0 star rating; 16 reviews; West Village; 30 7th Ave, New York, NY 10011; (646) 665-6000 
Lenox Hill Hospital; Hospitals; 3.0 star rating; 88 reviews; Upper East Side; 100 E 77th St, New York, NY 10075; (212) 434-2000 
